Notes,County,County Code,Education,Education Code,Single/Multi Race 31,Single/Multi Race 31 Code,Cause of death,Cause of death Code,Sex,Sex Code,Deaths
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Sequelae of other and unspecified cerebrovascular diseases,I69.8,Female,F,46
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Sequelae of other and unspecified cerebrovascular diseases,I69.8,Male,M,21
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Pneumonia, unspecified",J18.9,Female,F,67
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,55
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Emphysema, unspecified",J43.9,Female,F,11
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Emphysema, unspecified",J43.9,Male,M,13
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,Female,F,31
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,Male,M,33
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,Female,F,10
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,Male,M,10
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,189
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,113
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Pneumonitis due to food and vomit,J69.0,Female,F,46
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,54
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Other interstitial pulmonary diseases with fibrosis,J84.1,Female,F,16
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Other interstitial pulmonary diseases with fibrosis,J84.1,Male,M,19
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Interstitial pulmonary disease, unspecified",J84.9,Female,F,23
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Interstitial pulmonary disease, unspecified",J84.9,Male,M,21
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,Chronic respiratory failure,J96.1,Female,F,11
NA,"Essex County, MA",25009,High school graduate or GED completed,3,White (only),1,"Respiratory failure, unspecified",J96.9,Female,F,10
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Vascular dementia, unspecified",F01.9,Female,F,10
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Unspecified dementia,F03,Female,F,95
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Unspecified dementia,F03,Male,M,37
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Parkinson disease,G20,Male,M,15
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,32
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,13
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,23
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,31
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,10
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,25
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,49
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,48
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Atrial fibrillation and flutter,I48,Male,M,13
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Congestive heart failure,I50.0,Female,F,22
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Congestive heart failure,I50.0,Male,M,14
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Heart failure, unspecified",I50.9,Female,F,14
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,14
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Male,M,17
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Pneumonia, unspecified",J18.9,Female,F,13
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,13
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,23
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,21
NA,"Essex County, MA",25009,"Some college credit, but not a degree.",4,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,15
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Vascular dementia, unspecified",F01.9,Female,F,15
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Unspecified dementia,F03,Female,F,101
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Unspecified dementia,F03,Male,M,33
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Parkinson disease,G20,Female,F,17
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Parkinson disease,G20,Male,M,13
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,44
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,10
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,10
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,26
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,12
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,28
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,39
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,49
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Cardiac arrest, unspecified",I46.9,Male,M,11
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Atrial fibrillation and flutter,I48,Female,F,13
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Congestive heart failure,I50.0,Female,F,25
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,Congestive heart failure,I50.0,Male,M,17
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Heart failure, unspecified",I50.9,Female,F,10
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,22
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,31
NA,"Essex County, MA",25009,"Associate degree (AA,AS)",5,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,14
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,22
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Vascular dementia, unspecified",F01.9,Female,F,18
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Vascular dementia, unspecified",F01.9,Male,M,11
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Female,F,134
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Male,M,86
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Motor neuron disease,G12.2,Male,M,10
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Parkinson disease,G20,Female,F,16
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Parkinson disease,G20,Male,M,46
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,54
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,39
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Senile degeneration of brain, not elsewhere classified",G31.1,Female,F,11
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Essential (primary) hypertension,I10,Female,F,14
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Essential (primary) hypertension,I10,Male,M,12
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,10
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,19
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,54
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,13
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,44
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,33
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,92
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Cardiac arrest, unspecified",I46.9,Female,F,18
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Cardiac arrest, unspecified",I46.9,Male,M,20
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atrial fibrillation and flutter,I48,Female,F,22
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atrial fibrillation and flutter,I48,Male,M,19
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Congestive heart failure,I50.0,Female,F,32
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Congestive heart failure,I50.0,Male,M,29
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Heart failure, unspecified",I50.9,Female,F,11
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Heart failure, unspecified",I50.9,Male,M,21
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,25
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Male,M,17
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Pneumonia, unspecified",J18.9,Female,F,13
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,20
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,28
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,21
NA,"Essex County, MA",25009,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,15
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Unspecified dementia,F03,Female,F,80
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Unspecified dementia,F03,Male,M,68
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Parkinson disease,G20,Female,F,14
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Parkinson disease,G20,Male,M,33
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,28
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,19
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Essential (primary) hypertension,I10,Male,M,11
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,20
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,14
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,18
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,53
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Cardiac arrest, unspecified",I46.9,Male,M,11
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Atrial fibrillation and flutter,I48,Male,M,17
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Congestive heart failure,I50.0,Female,F,12
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Congestive heart failure,I50.0,Male,M,17
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Heart failure, unspecified",I50.9,Male,M,11
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,10
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,11
NA,"Essex County, MA",25009,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,11
NA,"Essex County, MA",25009,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Unspecified dementia,F03,Female,F,13
NA,"Essex County, MA",25009,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Unspecified dementia,F03,Male,M,25
NA,"Essex County, MA",25009,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Parkinson disease,G20,Male,M,18
NA,"Essex County, MA",25009,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,11
NA,"Essex County, MA",25009,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,13
NA,"Essex County, MA",25009,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,24
NA,"Franklin County, MA",25011,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Female,F,13
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Female,F,61
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Male,M,19
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,20
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,24
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,19
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,11
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,26
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Female,F,22
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Male,M,10
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,11
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,20
NA,"Franklin County, MA",25011,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,31
NA,"Franklin County, MA",25011,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Female,F,16
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,11
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,Unspecified dementia,F03,Female,F,86
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,Unspecified dementia,F03,Male,M,57
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,23
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,19
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,27
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,Congestive heart failure,I50.0,Female,F,22
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,Congestive heart failure,I50.0,Male,M,18
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Heart failure, unspecified",I50.9,Female,F,11
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Heart failure, unspecified",I50.9,Male,M,14
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,12
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,13
NA,"Hampden County, MA",25013,8th grade or less,1,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,16
NA,"Hampden County, MA",25013,8th grade or less,1,Black (only),2,Unspecified dementia,F03,Female,F,10
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Female,F,67
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Male,M,32
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,18
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,17
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,21
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,20
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Atrial fibrillation and flutter,I48,Female,F,10
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,"Cardiac arrhythmia, unspecified",I49.9,Male,M,15
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Congestive heart failure,I50.0,Female,F,23
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,Congestive heart failure,I50.0,Male,M,16
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,"Heart failure, unspecified",I50.9,Female,F,10
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,23
NA,"Hampden County, MA",25013,9th through 12th grade with no diploma,2,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,17
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Male,M,18
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Unspecified diabetes mellitus, with renal complications",E14.2,Male,M,11
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,28
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,32
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Hyperlipidaemia, unspecified",E78.5,Male,M,11
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Vascular dementia, unspecified",F01.9,Female,F,24
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Female,F,447
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Male,M,166
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Male,M,11
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,Male,M,18
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Motor neuron disease,G12.2,Male,M,10
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Parkinson disease,G20,Female,F,21
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Parkinson disease,G20,Male,M,41
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,49
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,28
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Senile degeneration of brain, not elsewhere classified",G31.1,Female,F,21
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,10
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Essential (primary) hypertension,I10,Female,F,27
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Essential (primary) hypertension,I10,Male,M,27
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease with (congestive) heart failure,I11.0,Female,F,14
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease with (congestive) heart failure,I11.0,Male,M,12
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,10
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,17
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Acute subendocardial myocardial infarction,I21.4,Female,F,10
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,64
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,87
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,45
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,73
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,103
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,152
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Ischaemic cardiomyopathy,I25.5,Male,M,14
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,10
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Aortic (valve) stenosis,I35.0,Female,F,25
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Aortic (valve) stenosis,I35.0,Male,M,19
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Cardiomyopathy, unspecified",I42.9,Female,F,24
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Cardiomyopathy, unspecified",I42.9,Male,M,17
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Cardiac arrest, unspecified",I46.9,Female,F,12
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Cardiac arrest, unspecified",I46.9,Male,M,18
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Atrial fibrillation and flutter,I48,Female,F,43
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Atrial fibrillation and flutter,I48,Male,M,30
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Cardiac arrhythmia, unspecified",I49.9,Female,F,30
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Cardiac arrhythmia, unspecified",I49.9,Male,M,52
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Female,F,104
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Male,M,83
NA,"Hampden County, MA",25013,High school graduate or GED completed,3,White (only),1,"Heart failure, unspecified",I50.9,Female,F,48
